,short_name,name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,player_tags,team_position,loaned_from,joined,nation_position,pace,shooting,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,2016
10,L. Modrić,Luka Modric,30,174,65,Croatia,Real Madrid,89,89,Right,4,4,4,High/Medium,Lean,"#Dribbler, #Playmaker  , #Acrobat",RCM,,2012-08-01,,74.0,75.0,89.0,72.0,66.0,,,,,,,"Long Passer (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",78,71,55,92+6,74-1,86,79,77,83,92,77-1,71-3,93,88,94,73,67,83-4,58-3,82,62,76+3,79,90+1,80,76,66-3,80+5,73,13,9,7,14,9,57.0
11,P. Pogba,Paul Pogba,23,191,84,France,Manchester United,88,94,Right,4,4,5,High/Medium,Lean,"#Dribbler, #Playmaker  , #Distance Shooter, #Strength, #Complete Midfielder",LDM,,2016-08-09,RCM,77.0,80.0,87.0,72.0,87.0,,,,,,,"Dives Into Tackles (CPU AI Only), Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",78+2,71,72,86+1,84,89+1,82+1,82+2,82+1,90+1,75,79,79+4,86,61,90-1,85,91+1,91,90-1,72-2,70-1,84+1,86,76,82,68,74-2,78,5,6,2,4,3,77.52
12,A. Griezmann,Antoine Griezmann,25,176,67,France,Atlético Madrid,88,92,Left,4,3,4,High/Medium,Lean,"#Dribbler, #Acrobat, #Clinical Finisher",LS,,2014-07-29,RW,86.0,85.0,87.0,30.0,67.0,,,,,,,Speed Dribbler (CPU AI Only),82,88+1,80+2,79+2,87+4,87+1,84,75+1,75,86+2,87+1,86,90+1,90+7,80+10,81+2,83,75-1,61-1,82+4,69,35,91+3,76+2,71,81,23,22,11,14,8,14,13,14,79.8
13,K. De Bruyne,Kevin De Bruyne,25,181,76,Belgium,Manchester City,88,91,Right,4,4,4,High/Medium,Normal,#Playmaker  ,RCM,,2015-08-30,RF,77.0,83.0,84.0,40.0,75.0,,,,,,,"Early Crosser, Long Passer (CPU AI Only), Long Shot Taker (CPU AI Only), Set Play Specialist",90,82,53,88,82,85,78,77,82,86,76,78,78,87,75,84,65,85,73,85,68,52,83,88,77,82,30,39,40,15,13,5,10,13,68.4
14,T. Kroos,Toni Kroos,26,182,78,Germany,Real Madrid,88,90,Right,4,5,3,Medium/Medium,Normal,"#Playmaker  , #Distance Shooter",LCM,,2014-07-17,LDM,45.0,80.0,79.0,69.0,70.0,,,,,,,"Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",84-1,75-1,54,89,82,78-5,84,83,93+3,85-1,55-4,37-15,70-1,85,62,87,34-20,78+2,74+2,88-1,60+6,77+1,76,88,73,85,63+3,75+3,65+6,10,11,13,7,10,61.275
15,E. Hazard,Eden Hazard,25,173,74,Belgium,Chelsea,88,90,Right,4,4,4,High/Medium,Normal,"#Speedster, #Dribbler, #Acrobat",LW,,2012-07-01,LF,90.0,81.0,91.0,32.0,64.0,,,,,,,"Injury Free, Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",80,80-1,57,82-3,79,93-1,82,79,78-4,90,93,87,92,85-1,90,79,59,74,63,82,54,41,84,86,86,86,25,27,22,11,12,6,8,8,76.0
16,G. Higuaín,Gonzalo Higuaín,28,184,79,Argentina,Juventus,88,88,Right,4,4,3,High/Medium,Normal,#Clinical Finisher,LS,,2016-07-26,SUB,80.0,87.0,82.0,24.0,75.0,,,,,,,Outside Foot Shot,68,91+1,80+2,72,86+3,84+1,69,62,58,85-1,78-1,82-1,74,86,60,85,75+2,73+1,85+1,82+2,50,20,92+2,70,70,84,12,22,18,5,12,7,5,10,72.675
17,H. Lloris,Hugo Lloris,29,188,78,France,Tottenham Hotspur,88,88,Left,4,1,1,Medium/Medium,Lean,,GK,,2012-08-01,,,,,,,87.0,87.0,68.0,90.0,64.0,82.0,"Puncher, Rushes Out Of Goal, Comes For Crosses",13,10,10,27,11,10,11,10,31,34,65,63,55,84,54,23,74,41,43,14,31,27,10,30,40,64,12,10,18,87,87+5,68,82+1,90+2,26.6
18,D. Godín,Diego Godín,30,185,73,Uruguay,Atlético Madrid,88,88,Right,3,3,2,Medium/High,Lean,"#Aerial Threat, #Tackling , #Tactician , #Complete Defender",LCB,,2010-08-01,LCB,65.0,48.0,63.0,88.0,79.0,,,,,,,"Dives Into Tackles (CPU AI Only), Power Header",55,42,92,79+2,47,53,49,51,70+1,76+3,62-6,67-2,63+1,85+2,58,67,89+1,69-4,80+2,43,86+2,88+2,48,52,50,80,87+1,86,89,6,8,15,5,15,42.75
19,M. Reus,Marco Reus,27,182,72,Germany,Borussia Dortmund,88,88,Right,4,4,4,Medium/Medium,Lean,"#Speedster, #Dribbler, #Acrobat",LM,,2012-07-01,,90.0,85.0,86.0,40.0,63.0,,,,,,,"Injury Prone, Finesse Shot, Speed Dribbler (CPU AI Only), Backs Into Player, Takes Finesse Free Kicks",83-2,83,51,86,88+1,86,90,84,79,85,89,91,87-2,87,82,87+3,70,72-1,64-1,85-1,47,50,86-1,84,84,82,30,36,46+1,12,12,13,13,11,48.45
20,J. Rodríguez,James Rodríguez,24,180,75,Colombia,Real Madrid,87,92,Left,4,3,4,Medium/Medium,Normal,"#Distance Shooter, #Crosser, #FK Specialist",CAM,,2014-07-22,LAM,76.0,85.0,85.0,40.0,68.0,,,,,,,"Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Set Play Specialist",88,82-3,62-6,84,91,87,87+5,86,80,85,77-1,75-3,82-1,84-1,73-1,86,54-1,68-5,70-1,91+4,65-9,55-3,83,88+1,81,81,25,42-5,30,15,15,15,5,14,83.6
21,J. Oblak,Jan Oblak,23,186,87,Slovenia,Atlético Madrid,87,91,Right,3,3,1,Medium/Medium,Normal,,GK,,2014-07-17,SUB,,,,,,83.0,90.0,77.0,82.0,52.0,87.0,"Puncher, GK Long Throw, Comes For Crosses",13,11,15,29,13,12,13,14,26,16,43,60,67,84+5,49,22,76,41,78,12,44,19,11,55,11,55,14,12,18,83+4,90+6,77+4,87+3,82-1,34.2
22,D. Alaba,David Alaba,24,180,76,Austria,FC Bayern München,87,90,Left,4,4,3,High/Medium,Lean,#Tactician ,LB,,2010-02-10,RDM,86.0,73.0,83.0,83.0,73.0,,,,,,,Long Shot Taker (CPU AI Only),82,63,76,84,68,82,78,83,80,84,86,86,83-2,84,77,83,82,88,67,83+2,69,86,77,78,80,79,82,84,84,5,7,14,15,9,51.3
23,Sergio Busquets,Sergio Busquets,27,189,76,Spain,FC Barcelona,87,88,Right,4,3,3,Medium/Medium,Lean,#Tactician ,CDM,,2008-09-01,CDM,42.0,59.0,74.0,83.0,81.0,,,,,,,Diver,62,60,68-2,89,44,74,66,68,79,82,53-1,33-15,58,83,55,61,66,88,77,54,86,87,77,85,60,82,83,86,80,5,8,13,9,13,64.6
24,T. Müller,Thomas Müller,26,186,75,Germany,FC Bayern München,87,88,Right,4,4,3,High/High,Lean,"#Engine, #Clinical Finisher",RW,,2008-08-10,RM,78.0,83.0,78.0,46.0,72.0,,,,,,,"Injury Free, Finesse Shot, Outside Foot Shot",74-5,89,82,81-2,83,75-3,81,59,68-9,82+1,76,79+1,77,92+1,72-1,77+3,81,90,68,80,57,58,96+2,81-4,60-22,83,31-1,41,44,6,7,11,14,14,85.5
25,K. Benzema,Karim Benzema,28,187,79,France,Real Madrid,87,87,Right,4,4,4,Medium/Low,Normal,#Poacher,ST,,2009-07-01,,81.0,84.0,82.0,22.0,74.0,,,,,,,Beat Offside Trap,75,88,78,86,79+2,83+1,79,73,47,87+1,79-3,82-2,77+2,83,60,83,70,74-1,78,78,65,22,87,85+2,82,82,13,15,12,13,11,5,5,7,68.4
26,David Silva,David Silva,30,170,67,Spain,Manchester City,87,87,Left,4,2,4,High/Low,Normal,"#Playmaker  , #Acrobat",LCM,,2010-07-14,RW,68.0,72.0,87.0,32.0,59.0,,,,,,,"Avoids Using Weaker Foot, Finesse Shot, Flair, Playmaker (CPU AI Only), Takes Finesse Free Kicks",85,70-2,54,91-1,80,85-2,83,77,78-7,90-1,72-7,65-3,92-1,84,88,71,66,68,56,74-5,51,41,81-2,92-1,77,92,23,30,29,1,1,1,1,1,39.52
27,I. Rakitić,Ivan Rakitic,28,184,78,Croatia,FC Barcelona,87,87,Right,4,3,3,Medium/Medium,Normal,#Playmaker  ,RCM,,2014-06-24,,66.0,84.0,82.0,59.0,66.0,,,,,,,"Finesse Shot, Set Play Specialist",81,83+1,49,87+1,80,84+1,88+1,84,92,87,67-2,65-2,71-1,79,66,84,51-1,76-2,63,88+1,67,69,80,87,78,81,52,65,53,14,11,12,5,9,55.1
28,M. Hummels,Mats Hummels,27,191,92,Germany,FC Bayern München,87,87,Right,4,3,2,High/Medium,Normal,"#Aerial Threat, #Tackling , #Tactician , #Strength, #Complete Defender",LCB,,2016-07-01,LCB,64.0,58.0,71.0,88.0,77.0,,,,,,,"Avoids Using Weaker Foot, Long Passer (CPU AI Only), Playmaker (CPU AI Only)",64,55,90,77-1,60,68,65,53,82,77,62,65-1,64,85,58,71,68-2,67,86,51,67-4,90-1,56,79,68,91,85-1,91+4,86,15,6,10,5,6,41.04
29,A. Di María,Ángel Di María,28,180,75,Argentina,Paris Saint-Germain,87,87,Left,4,2,5,High/Medium,Lean,"#Dribbler, #Crosser, #Acrobat",RW,,2015-08-06,LW,87.0,79.0,87.0,47.0,70.0,,,,,,,"Diver, Avoids Using Weaker Foot, Flair, Long Passer (CPU AI Only), Chip Shot (CPU AI Only)",90,75,53,83+2,77,87,83,72,82+1,87+1,86-2,88,90,81+2,79,87,72,78,64,79,76,38,83,85+2,73,82,37,59-4,56-5,10,7,11,12,11,66.5
30,L. Bonucci,Leonardo Bonucci,29,190,86,Italy,Juventus,87,87,Right,3,3,2,Medium/High,Lean,"#Tackling , #Tactician ",CB,,2010-07-01,CB,70.0,53.0,69.0,87.0,81.0,,,,,,,"Power Free-Kick, Injury Free, Leadership, Long Passer (CPU AI Only), Power Header, Team Player",44,37,84,75+2,55,68,56,61,83+4,75+2,64-1,74-1,60-1,84+2,54-1,74+5,85,73-2,85+2,65+6,82-2,90+4,38-1,74+8,70+9,82,84,88+2,88+2,2,2,3,2,4,38.475
31,A. Sánchez,Alexis Sánchez,27,169,62,Chile,Arsenal,87,87,Right,4,3,4,High/High,Normal,"#Dribbler, #Acrobat",LM,,2014-07-10,LW,86.0,82.0,88.0,39.0,75.0,,,,,,,"Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",80+3,83,65,80+1,78,89+1,78,78,73,86+1,88,84,90,84,87,82,85,85,66,80+1,80,42,85,82+4,77,82,30,39,35,10,10,15,12,13,62.7
32,B. Leno,Bernd Leno,24,190,83,Germany,Bayer 04 Leverkusen,86,89,Right,3,4,1,Medium/Medium,Normal,,GK,,2012-01-01,SUB,,,,,,85.0,86.0,80.0,83.0,49.0,86.0,Cautious With Crosses,9,9,13,37,10,16,9,8,33,22,46,52,52,81-2,44,23,73,43,68,14,28,22,7,53,23,62,8,15,18,85+1,86+3,80-1,86+3,83-1,18.24
33,P. Aubameyang,Pierre-Emerick Aubameyang,27,187,80,Gabon,Borussia Dortmund,86,87,Right,3,4,3,High/Low,Lean,#Speedster,ST,,2013-07-04,,96.0,84.0,80.0,37.0,71.0,,,,,,,"Injury Free, Beat Offside Trap, Finesse Shot, Speed Dribbler (CPU AI Only), Chip Shot (CPU AI Only), Takes Finesse Free Kicks",77-4,88,78+1,77+3,84,81,78,74,64,81,95,96,80,86+2,66,79+1,76,79,77,78+1,45,48,87+1,77,84,79,28,25,36,6,9,15,9,9,51.3
34,Jordi Alba,Jordi Alba,27,170,68,Spain,FC Barcelona,86,87,Left,3,3,3,High/Medium,Normal,"#Speedster, #Acrobat",LB,,2012-07-01,LB,93.0,69.0,83.0,81.0,75.0,,,,,,,,83+1,73,63+3,79+2,60,80,77,64,70,84+2,93,93+1,90+1,82+1,86-1,64,81,90,66-1,66,75,83+1,77,68,59,75,81+2,84,83+1,13,15,13,6,13,39.9
35,B. Matuidi,Blaise Matuidi,29,175,70,France,Paris Saint-Germain,86,86,Left,3,2,2,High/High,Lean,"#Engine, #Tactician ",LCM,,2011-07-01,LCM,79.0,67.0,76.0,83.0,84.0,,,,,,,"Injury Free, Finesse Shot, Team Player",75,65,73,84,72,73,65,52,79,79+2,79+5,79+3,77,86+3,79,74,83,94,78+5,66,85+1,87+1,70,77+3,56,85,83+1,85+1,83,8,11,5,10,14,34.2
36,Marcelo,Marcelo,28,174,75,Brazil,Real Madrid,86,86,Left,4,4,4,High/Medium,Normal,#Crosser,LB,,2007-01-01,SUB,79.0,69.0,84.0,82.0,80.0,,,,,,,Flair,87+2,67+1,70+1,81+2,54,83,80,67,76,87+1,77-1,80-3,77-2,85,82-2,83,77,82+1,77+2,66+1,84-2,83,69+2,75+5,59,76,80+1,84+1,87+1,12,5,5,5,9,34.2
37,M. Silva,Marcelo,27,185,83,Uruguay,Real Zaragoza,71,72,Right,1,3,2,Medium/Medium,Stocky,,RCB,,2016-07-17,,55.0,35.0,52.0,70.0,79.0,,,,,,,Dives Into Tackles (CPU AI Only),32,22,75,58,34,48,49,46,53,54,54,55-3,64+4,57,47,61,82+1,66+1,85,35,78-5,64-3,30,43,49,47,70,72,69,6,12,7,6,14,34.2
38,P. Dybala,Paulo Dybala,22,176,73,Argentina,Juventus,85,92,Left,3,3,4,Medium/Medium,Normal,"#Dribbler, #Acrobat, #Clinical Finisher",RS,,2015-07-01,SUB,88.0,86.0,90.0,23.0,66.0,,,,,,,"Avoids Using Weaker Foot, Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Set Play Specialist, Takes Finesse Free Kicks",78+6,89+2,64+4,78,82+2,90+1,86+5,82,58,91+1,91+1,85,91,82,85,80+3,75+6,81+2,65+10,86+3,48,24-7,85,79,82+6,82,14-1,20-1,20-1,5-4,4-7,4-5,5-5,8-3,45.98
39,M. Verratti,Marco Verratti,23,165,60,Italy,Paris Saint-Germain,85,90,Right,3,4,4,High/High,Normal,"#Dribbler, #Acrobat",RCM,,2012-07-01,LCM,68.0,58.0,87.0,78.0,68.0,,,,,,,"Long Passer (CPU AI Only), Playmaker (CPU AI Only)",72,52,55,90,64,88,73,64,87,85,72,64,87,87,94,66,64,77-3,56,58,89,83,71,84,64,89,78,82,74,12,12,15,15,10,45.6
40,Coutinho,Philippe Coutinho,24,171,68,Brazil,Liverpool,85,89,Right,3,4,4,High/Medium,Lean,"#Dribbler, #Acrobat",LW,,2013-01-30,CAM,82.0,74.0,87.0,33.0,56.0,,,,,,,"Finesse Shot, Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",74,70,47,85,75,87,84,74+2,78,88,89,77,91,75,91,79,59,73,56,80,35,30,76,87,64,79,24,38,35,12,7,9,14,6,38.19
41,A. Lacazette,Alexandre Lacazette,25,175,73,France,Olympique Lyonnais,85,89,Right,3,3,4,High/High,Normal,#Acrobat,ST,,2009-07-01,,86.0,82.0,85.0,34.0,76.0,,,,,,,"Diver, Flair, Speed Dribbler (CPU AI Only)",70,86,76,80,82,85,74,73,68,83,84-3,87,87-1,84,84,81,78,80,77+2,74,70,40,86,77,82,86,23,29,30,11,6,9,5,6,39.9
42,R. Mahrez,Riyad Mahrez,25,179,62,Algeria,Leicester City,85,88,Left,3,4,5,Medium/Medium,Lean,"#Dribbler, #Acrobat",RM,,2014-01-11,,82.0,77.0,88.0,30.0,58.0,,,,,,,"Diver, Selfish, Finesse Shot, Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",83+5,80+1,45,80+3,71,89+1,78,70+4,76+2,88+1,86,79,92,75+3,80,76+2,59,76,57,74,39,38,81+1,83+1,71,82,25+1,27,21,15,9,13,11,6,28.5
43,M. Pjanić,Miralem Pjanic,26,180,74,Bosnia Herzegovina,Juventus,85,87,Right,3,4,4,Medium/Medium,Normal,"#Playmaker  , #FK Specialist",CDM,,2016-07-01,,74.0,75.0,84.0,64.0,68.0,,,,,,,"Finesse Shot, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Takes Finesse Free Kicks",80+3,70,60-1,89,71,83,86+5,91+1,85,89,74+2,74+3,78+2,84+1,78,79,61-5,79+3,65+5,84,62+1,68+1,76-1,88,79,84,58+1,68+1,64+3,7,7,13,7,8,41.61
44,I. Gündoğan,Ilkay Gündogan,25,180,80,Germany,Manchester City,85,87,Right,3,4,4,High/Medium,Normal,"#Dribbler, #Playmaker  ",SUB,,2016-07-01,,75.0,72.0,87.0,63.0,72.0,,,,,,,"Injury Prone, Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",74,67,49,90,75,87,81,74+1,83,88,77-1,74-2,85,87,83,77,62,73-2,74,74,68,79,77,87,76,86,57,64-1,64,11,14,5,5,13,34.2
45,Diego Costa,Diego Costa,27,188,85,Spain,Chelsea,85,86,Right,4,4,3,High/Medium,Normal,#Strength,ST,,2014-07-15,SUB,75.0,82.0,77.0,40.0,88.0,,,,,,,Diver,63,88,82,65,81,79-3,58,59,48,82,73-2,76-2,58-5,84-1,52,83,60,85,91,69,93+3,40,88,74,76,84,28,39,34,11,13,12,8,11,51.3
46,Diego,Diego Costa,37,188,84,Brazil,Vitória de Setúbal,67,67,Left,1,2,1,Medium/Medium,Stocky,,SUB,,2015-07-04,,,,,,,68.0,70.0,63.0,62.0,33.0,68.0,,15,11,10,29,13,19,15,13,29,20,32,33,32,63,31,24,68,29,78,11,23,13,15,39,11,56,10,10,17,68-2,70-6,63-1,68-7,62-4,51.3
47,T. Alderweireld,Toby Alderweireld,27,186,81,Belgium,Tottenham Hotspur,85,86,Right,3,3,2,Medium/Medium,Normal,#Tactician ,RCB,,2015-07-08,RCB,66.0,58.0,64.0,86.0,79.0,,,,,,,Long Passer (CPU AI Only),64,45,82+1,77,38,61,63,69,81,70+1,63,69,60,84,49,86,82+2,75,81,66,79,86+2,56,60,60,80,85,88+1,83,16,6,14,16,14,28.88
48,Willian,Willian José,27,175,75,Brazil,Chelsea,85,85,Right,3,4,4,High/High,Lean,"#Dribbler, #Engine, #Acrobat",RW,,2013-08-28,RW,89.0,74.0,86.0,51.0,63.0,,,,,,,"Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",75,75,29,82,59,87,80,85,77,86,92,86,87,81,82,71,46,86,61,80,44,55,78,83,60,74,43,62,51,14,12,13,7,13,3.42
49,Willian José,Willian José,24,186,89,Brazil,Real Sociedad,78,84,Right,1,4,3,Medium/Low,Normal,#Strength,ST,,2016-07-31,,66.0,77.0,72.0,38.0,75.0,,,,,,,Beat Offside Trap,54+10,78+9,70+3,71,73+8,73+3,62,71,46,77+5,64+3,68+8,59,79+10,51,85+3,56+10,66,86+3,68+3,65,40,81+5,63,80,73,29,37,35,15,14,16,15,8,3.42
50,N. Otamendi,Nicolás Otamendi,28,183,81,Argentina,Manchester City,85,85,Right,3,3,2,Medium/Medium,Normal,#Tackling ,LCB,,2015-08-20,RCB,72.0,56.0,53.0,85.0,82.0,,,,,,,"Injury Free, Dives Into Tackles (CPU AI Only), Power Header",52,53,86,64,56,41,50,39,66,60,68-6,75,71,79,62,69,90,78,82,56,85,86,49,45,44,76,83,86,86,12,5,8,11,12,36.48
51,H. Mkhitaryan,Henrikh Mkhitaryan,27,177,75,Armenia,Manchester United,85,85,Right,3,5,4,High/High,Normal,"#Dribbler, #Acrobat",SUB,,2016-07-06,,83.0,77.0,87.0,55.0,70.0,,,,,,,"Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Set Play Specialist",80,73-1,53,85,81-3,86-1,83,64,73-5,89,84-3,82-2,88-2,83-2,83,87,72,85+1,63-4,75-3,69-1,68,83-1,85-2,72,67,49,53,55,5,11,14,5,7,36.1
52,R. Varane,Raphaël Varane,23,191,78,France,Real Madrid,84,91,Right,3,3,2,Medium/Medium,Lean,#Tackling ,SUB,,2011-07-01,RCB,77.0,45.0,63.0,85.0,78.0,,,,,,,,36,40,83,72,42,57,46,54,74,75,76-2,78-2,58,79+1,47,52,74,70+1,84+2,53,73,85,44,56,43,66,84+1,86+1,85+1,11,11,9,5,14,34.2
53,R. Lukaku,Romelu Lukaku,23,190,94,Belgium,Everton,84,90,Left,3,4,3,Medium/Medium,Normal,#Strength,ST,,2014-07-30,ST,82.0,82.0,74.0,34.0,84.0,,,,,,,Beat Offside Trap,68,84,83+3,67,73+2,76,64,66,58,78+2,76-4,86+1,62-2,77+4,48,88+2,71,80,93+1,76,72,27,84,69,80,80,27,30,30,8,15,14,7,10,43.7
