,short_name,name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,player_tags,team_position,loaned_from,joined,nation_position,pace,shooting,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,2017
10,K. De Bruyne,Kevin De Bruyne,26,181,68,Belgium,Manchester City,89,92,Right,4,4,4,High/High,Normal,"#Playmaker  , #Engine, #Crosser, #Complete Midfielder",RCM,,2015-08-30,RCM,75.0,84.0,85.0,45.0,75.0,,,,,,,"Early Crosser, Long Passer (CPU AI Only), Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Set Play Specialist",90,83,53,90+1,82,85,83+2,83-1,84+2,87+1,76,75-3,80+2,88,75,85,65,87+2,73,86,68,56+4,84,90+2,77,84,30,51+12,40,15,13,5,10,13,77.9
11,S. Agüero,Sergio Agüero,29,173,70,Argentina,Manchester City,89,89,Right,4,4,4,High/Medium,Normal,"#Dribbler, #Acrobat, #Clinical Finisher",RS,,2011-07-28,ST,87.0,88.0,89.0,23.0,72.0,,,,,,,"Beat Offside Trap, Flair, Technical Dribbler (CPU AI Only)",70,90,68,79,85,89,82,72,63,89,90-2,84-2,86,89+1,91+1,88+1,80,74,74+1,83-1,63+6,24,91,83,83+3,90,13,20,12,13,15,6,11,14,74.1
12,G. Bale,Gareth Bale,27,183,74,Wales,Real Madrid,89,89,Left,4,3,4,High/Medium,Lean,"#Speedster, #Distance Shooter, #Crosser, #Clinical Finisher",RW,,2013-09-02,LF,94.0,87.0,86.0,57.0,76.0,,,,,,,"Long Throw-in, Injury Prone, Avoids Using Weaker Foot, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Chip Shot (CPU AI Only)",87,87,86,86,76,89,86,85,80,87-1,93,95,77,87,65,91,85,76-2,80,90,65,59,86,79,76,85,51,55,52,15,15,11,5,6,96.9
13,L. Modrić,Luka Modric,31,174,65,Croatia,Real Madrid,89,89,Right,4,4,4,High/Medium,Lean,"#Dribbler, #Playmaker  , #Acrobat",RCM,,2012-08-01,,73.0,75.0,89.0,72.0,65.0,,,,,,,"Long Passer (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",78,71,55,92,74,86,79,77,83,92,75-2,71,93,88,94,73,67,82-1,58,82,62,76,79,90,80,84+8,66,80,73,13,9,7,14,9,48.45
14,A. Sánchez,Alexis Sánchez,28,169,62,Chile,Arsenal,89,89,Right,4,3,4,High/High,Normal,"#Dribbler, #Acrobat",LW,,2014-07-10,LS,86.0,84.0,89.0,40.0,78.0,,,,,,,"Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only), Through Ball",80,85,70,81+1,83,90+1,78,78,73,87+1,88,84,90,87,87,84,85,85,72,82+1,80,42,86,83+1,77,86+4,30,39,35,10,10,15,12,13,74.1
15,A. Sánchez,Alexis Sánchez,30,187,84,Argentina,Atlético Tucumán,69,69,Left,1,2,1,Medium/Medium,Normal,,SUB,,2017-08-08,,,,,,,67.0,64.0,69.0,74.0,21.0,67.0,Puncher,20,18,17,24,19,20,13,14,22,20,23,20,23,68,48,23,33,18,68,14,13,10,10,43,25,23,20,15,14,67,64,69,67,74,74.1
16,J. Oblak,Jan Oblak,24,189,82,Slovenia,Atlético Madrid,88,93,Right,3,3,1,Medium/Medium,Normal,,GK,,2014-07-17,GK,,,,,,84.0,90.0,77.0,84.0,52.0,87.0,"Puncher, GK Long Throw, Comes For Crosses",13,11,15,29,13,12,13,14,26,16,43,60,67,84,49,22,76,41,78,12,34,19,11,55,11,55,14,12,18,84+1,90,77,87,84+2,42.75
17,P. Dybala,Paulo Dybala,23,177,73,Argentina,Juventus,88,93,Left,3,3,4,High/Medium,Normal,"#Dribbler, #Acrobat",CAM,,2015-07-01,LW,86.0,85.0,91.0,24.0,67.0,,,,,,,"Avoids Using Weaker Foot, Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Set Play Specialist, Takes Finesse Free Kicks",80+2,85-3,68,83,88,92+1,88,84,71+4,93+2,88-3,84-1,91,84-1,85,82,75,83,65,88,48,24,84-1,84,86,84+2,14,20,20,5,4,4,5,8,71.82
18,A. Griezmann,Antoine Griezmann,26,174,72,France,Atlético Madrid,88,91,Left,4,3,4,High/Medium,Lean,"#Dribbler, #Acrobat, #Clinical Finisher",LS,,2014-07-29,SUB,86.0,85.0,87.0,30.0,68.0,,,,,,,Speed Dribbler (CPU AI Only),82,88,80,79,87,87,84,75,75,86,87,86,90,90,80,81,87,76+1,61,82,69,35,91,76,71,86+5,23,22,11,14,8,14,13,14,91.2
19,H. Lloris,Hugo Lloris,30,188,82,France,Tottenham Hotspur,88,88,Left,4,1,1,Medium/Medium,Lean,,GK,,2012-08-01,GK,,,,,,88.0,86.0,68.0,90.0,64.0,82.0,"Avoids Using Weaker Foot, Rushes Out Of Goal, Comes For Crosses",13,10,10,50+23,11,10,11,10,50+19,34,65,63,55,85+1,54,23,74,41,43,14,31,27,10,30,40,61-3,12,10,18,88+1,86-1,68,82,90,27.36
20,M. Özil,Mesut Özil,28,180,76,Germany,Arsenal,88,88,Left,4,2,4,Medium/Low,Lean,#Playmaker  ,RW,,2013-09-02,CAM,71.0,74.0,86.0,24.0,58.0,,,,,,,"Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",82,74-1,54,89,77,86,84,79,84,90,75-2,68,83-1,87,70,70,52,69,57+1,76,48,24,83-1,92-1,67,78+5,22,16,19,6,14,10,6,14,57.0
21,M. Hummels,Mats Hummels,28,191,92,Germany,FC Bayern München,88,88,Right,4,3,2,High/Medium,Normal,"#Tackling , #Tactician ",LCB,,2016-07-01,LCB,64.0,58.0,71.0,89.0,76.0,,,,,,,"Avoids Using Weaker Foot, Long Passer (CPU AI Only), Playmaker (CPU AI Only)",64,55,89-1,80+2,60,68,65,53,85+3,77,62,65,64,85,58,71,68,66,85,51,66,89,56,79,68,91,85,92,90+3,15,6,10,5,6,44.84
22,D. Godín,Diego Godín,31,186,78,Uruguay,Atlético Madrid,88,88,Right,3,3,2,Medium/High,Lean,"#Aerial Threat, #Tackling , #Tactician , #Complete Defender",LCB,,2010-08-01,LCB,65.0,48.0,63.0,88.0,78.0,,,,,,,"Dives Into Tackles (CPU AI Only), Power Header",55,42,92,79,47,53,49,51,70,76,62,67,63,85,58,67,89,67-2,80,43,86,88,48,52,50,82+2,87,86,89,6,8,15,5,15,44.46
23,L. Bonucci,Leonardo Bonucci,30,190,85,Italy,Milan,88,88,Right,3,3,2,Low/High,Lean,"#Tackling , #Tactician ",RCB,,2017-07-14,RCB,68.0,54.0,70.0,87.0,81.0,,,,,,,"Power Free-Kick, Injury Free, Leadership, Long Passer (CPU AI Only), Power Header",44,39+2,88+4,79+4,58,69+1,56,61,85+2,75,62-3,72-3,60-1,86+2,52-3,74,85,73,85,65,82,90,38,74,70,84+2,84,88,88,2,2,3,2,4,45.6
24,P. Aubameyang,Pierre-Emerick Aubameyang,28,187,80,Gabon,Borussia Dortmund,88,88,Right,3,4,3,Medium/Low,Lean,"#Poacher, #Speedster",ST,,2013-07-04,,96.0,84.0,81.0,37.0,71.0,,,,,,,"Injury Free, Beat Offside Trap, Finesse Shot, Speed Dribbler (CPU AI Only), Chip Shot (CPU AI Only), Takes Finesse Free Kicks",77,88,79,77,86,82,78,74,64,82,95,96,77-3,87,70+1,81,77,79,77,79,43,48,89,77,79,84+5,28,25,36,6,9,15,9,9,74.1
25,P. Pogba,Paul Pogba,24,191,84,France,Manchester United,87,92,Right,4,4,5,High/Medium,Lean,"#Dribbler, #Playmaker  , #Strength",RDM,,2016-08-09,RCM,74.0,79.0,85.0,68.0,88.0,,,,,,,"Flair, Long Passer (CPU AI Only), Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",78,71,73,86+1,85+1,86-3,84,82,88,89-1,72-3,76-3,76-3,84-2,61,90,85,91,91,82-5,75+3,68-2,83-1,86-1,76,85+2,66-2,68-5,66-7,5,6,2,4,3,88.35
26,C. Eriksen,Christian Eriksen,25,182,76,Denmark,Tottenham Hotspur,87,91,Right,3,5,4,High/Medium,Normal,"#Playmaker  , #Crosser, #FK Specialist, #Complete Midfielder",RM,,2013-08-30,CAM,75.0,78.0,84.0,47.0,63.0,,,,,,,"Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Takes Finesse Free Kicks",86+1,76,52,89,74+5,84,85,87,86,87+1,77-2,74,78,83+1,82,80,57,90+2,57+3,84+3,44,55,81,90+1,67,87+5,38,56,22,9,14,7,7,6,47.5
27,M. Verratti,Marco Verratti,24,165,60,Italy,Paris Saint-Germain,87,91,Right,3,4,3,High/High,Normal,"#Dribbler, #Playmaker  , #Tactician , #Acrobat",RCM,,2012-07-01,RCM,65.0,59.0,89.0,79.0,68.0,,,,,,,Playmaker (CPU AI Only),72,58+6,55,90,64,90+2,73,64,89+2,88+1,69-3,62-2,87,87,94,56-10,64,77,56,58,89,86+3,71,88+2,64,91,76,84+2,79,12,12,15,15,10,55.1
28,N. Kanté,N'Golo Kanté,26,168,68,France,Chelsea,87,90,Right,3,3,3,Medium/High,Normal,"#Tackling , #Tactician ",RCM,,2016-07-16,LCM,81.0,66.0,79.0,81.0,84.0,,,,,,,,67,65,54,84,56,77+1,49,49,79,79,82-1,80-1,83+3,87+2,90,72,79,94,77+1,66,90,91,71+2,76,54,84,75,89,85,15,12,10,7,10,51.3
29,David Silva,David Silva,31,173,67,Spain,Manchester City,87,87,Left,4,2,4,High/Low,Normal,"#Playmaker  , #Acrobat",LCM,,2010-07-14,LM,68.0,72.0,87.0,38.0,61.0,,,,,,,"Avoids Using Weaker Foot, Finesse Shot, Flair, Playmaker (CPU AI Only), Takes Finesse Free Kicks",83-2,71+1,54,91,79-1,84-1,82-1,75-2,79+1,90,72,65,92,84,89+1,71,66,78+5,56,73-1,51,43+2,81,92,73-4,92,25+2,44+2,29,1,1,1,1,1,34.2
30,I. Rakitić,Ivan Rakitic,29,184,78,Croatia,FC Barcelona,87,87,Right,4,3,3,Medium/Medium,Normal,#Playmaker  ,RCM,,2014-06-24,,65.0,84.0,83.0,60.0,66.0,,,,,,,"Finesse Shot, Set Play Specialist",81,83,58,87,80,84,88,84,92,87,67,64-1,72+1,79,66,84,44-7,76,63,88,67,69,80,87,78,81,52,65,53,14,11,12,5,9,51.3
31,Marcelo,Marcelo,29,174,75,Brazil,Real Madrid,87,87,Left,4,4,4,High/Medium,Normal,#Crosser,LB,,2007-01-01,LB,78.0,69.0,85.0,82.0,79.0,,,,,,,Flair,90+3,67,71+1,82+1,54,84+1,80,67,76,88+1,77,79-1,77,87+2,82,83,77,81-1,77,66,84,83,75,75,59,85+9,80,85+1,87,12,5,5,5,9,39.9
32,M. Silva,Marcelo,28,185,83,Uruguay,Real Salt Lake,71,72,Right,1,3,2,Medium/Medium,Stocky,,RCB,,2017-07-12,,49.0,35.0,51.0,70.0,78.0,,,,,,,"Dives Into Tackles (CPU AI Only), Power Header",32,22,75,58,34,48,49,46,53,54,46,52,60,57,44,61,82,63,85,35,78,68,30,43,49,47,70,72,65,6,12,7,6,14,39.9
33,R. Lukaku,Romelu Lukaku,24,190,94,Belgium,Manchester United,86,90,Left,3,4,3,Medium/Medium,Normal,"#Poacher, #Strength",ST,,2017-07-10,ST,83.0,85.0,74.0,34.0,84.0,,,,,,,"Injury Free, Beat Offside Trap, Power Header, Target Forward",68,89+1,87+3,71,76,77+1,72+8,66,68,75-4,76-6,89,62,85+8,47-1,88,71,80,93,75+1,72,27,87,73+3,82+2,84,27,30,30,8,15,14,7,10,65.55
34,Isco,Isco,25,176,74,Spain,Real Madrid,86,90,Right,3,3,4,High/Medium,Normal,"#Dribbler, #Clinical Finisher",SUB,,2013-07-03,RCM,71.0,83.0,89.0,54.0,62.0,,,,,,,"Selfish, Finesse Shot, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",72,88+6,55,86,64,90,86,74,85+1,91,74-2,69,83,79,85+3,72,64,71,59,87+4,58,70+5,83,84,76,86+10,25,73+7,51,10,8,12,15,6,42.75
35,H. Kane,Harry Kane,23,188,86,England,Tottenham Hotspur,86,90,Right,3,4,3,High/High,Normal,"#Strength, #Clinical Finisher",ST,,2010-07-01,ST,71.0,87.0,78.0,42.0,83.0,,,,,,,Long Shot Taker (CPU AI Only),70,90+2,83,75,73+3,78+1,71,66,67,82,68-1,74-3,73-1,87+2,62,87+1,70,85+1,86+2,84+4,74,35,89+3,75+3,84+2,84+1,41,36,38,8,10,11,14,11,72.2
36,Coutinho,Philippe Coutinho,25,171,68,Brazil,Liverpool,86,89,Right,3,4,4,High/High,Lean,"#Dribbler, #Acrobat",LCM,,2013-01-30,RW,82.0,78.0,88.0,35.0,64.0,,,,,,,"Finesse Shot, Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",77,74+1,47,85,75,88,84,82+3,78,88,88-1,77,92+1,81,92+1,80+1,59,80+1,61,86+1,55,30,83,87,64,85+6,24,44,40,12,7,9,14,6,57.0
37,J. Rodríguez,James Rodríguez,25,180,75,Colombia,FC Bayern München,86,89,Left,4,3,4,Medium/Low,Normal,"#Distance Shooter, #Crosser, #FK Specialist",CAM,Real Madrid,,LAM,76.0,85.0,83.0,40.0,68.0,,,,,,,"Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Set Play Specialist",88,82,62,84,91,83-1,87,86,80,85,77,75,82,84,75+2,86,54,68,70,91,65,55,80,86,81,87+8,25,42,30,15,15,15,5,14,57.0
38,Alex Sandro,Alex Sandro,26,181,81,Brazil,Juventus,86,88,Left,3,3,3,High/High,Normal,#Engine,LB,,2015-08-21,,86.0,65.0,81.0,81.0,84.0,,,,,,,Speed Dribbler (CPU AI Only),86,55-2,76+4,81+2,68,82,78,59,71+2,81,84+1,88-1,79,86+6,79,80+2,79,93,80+1,72,82+12,82,70-2,70,60,82+2,78+2,84+2,84+2,7,7,9,12,5,39.9
39,D. Alaba,David Alaba,25,180,76,Austria,FC Bayern München,86,88,Left,4,4,3,High/Medium,Lean,,LB,,2010-02-10,LM,86.0,73.0,80.0,82.0,74.0,,,,,,,Long Shot Taker (CPU AI Only),82,63,75,83,68,79,78,85+2,80,83,86,86,79-3,84,77,83,82,87,69,83,69,85,77,78,80,79,81,83,83,5,7,14,15,9,44.08
40,T. Alderweireld,Toby Alderweireld,28,187,91,Belgium,Tottenham Hotspur,86,87,Right,3,3,2,Medium/Medium,Normal,#Tackling ,RCB,,2015-07-08,RCB,66.0,58.0,65.0,87.0,80.0,,,,,,,Long Passer (CPU AI Only),64,45,82-1,77,38,62+1,63,69,81,70,62-1,69,60,86+2,50+1,86,81-2,76+1,82+1,66,81+2,84-2,56,67+3,60,81,89+3,90+2,85+2,16,6,14,16,14,37.05
41,K. Benzema,Karim Benzema,29,187,79,France,Real Madrid,86,86,Right,4,4,4,Medium/Low,Normal,#Poacher,ST,,2009-07-01,,78.0,84.0,82.0,22.0,74.0,,,,,,,Beat Offside Trap,75,87,78,86,79,82,79,73,47,86,77-2,78-1,77,83,60,83,70,73-1,78,77,65,22,87,85,82,82,13,15,12,13,11,5,5,7,68.4
42,D. Mertens,Dries Mertens,30,169,61,Belgium,Napoli,86,86,Right,3,4,4,High/Low,Normal,"#Speedster, #Dribbler, #Acrobat",ST,,2013-07-01,RF,90.0,82.0,89.0,36.0,55.0,,,,,,,"Diver, Finesse Shot, Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only), Takes Finesse Free Kicks, Through Ball",77,85+8,35,81+1,70,89+1,81+1,77,74,88,93,87,94,85+5,92,80,60,75-1,42,81,59,36,85+4,82+1,78,81+6,30,40,40,7,10,8,10,4,29.925
43,R. Nainggolan,Radja Nainggolan,29,176,77,Belgium,Roma,86,86,Right,3,3,3,High/High,Stocky,"#Engine, #Tackling , #Tactician ",RCM,,2014-01-07,,78.0,80.0,82.0,81.0,83.0,,,,,,,"Leadership, Long Shot Taker (CPU AI Only)",73,76,59,84,75,80,73,68,81,85,80-1,76-2,81,87,84,84,76,94,76-2,86,88,86,88,76,63,85,78,86+1,88,11,11,14,8,11,45.6
44,Diego Costa,Diego Costa,28,186,87,Spain,Chelsea,86,86,Right,4,4,3,High/Medium,Normal,#Strength,SUB,,2014-07-15,SUB,75.0,83.0,76.0,40.0,88.0,,,,,,,"Diver, Through Ball",65,88-1,83+1,67,81-1,77-2,62,59,52,83,74-2,75-3,58,86+1,52,84,64,83-2,91,73+1,93,40,88,74,76,84,28,39,34,11,13,12,8,11,57.0
45,David Luiz,David Luiz,30,189,84,Brazil,Chelsea,86,86,Right,4,3,3,Medium/Medium,Normal,,CB,,2016-08-31,,70.0,64.0,71.0,84.0,81.0,,,,,,,"Power Free-Kick, Long Passer (CPU AI Only), Long Shot Taker (CPU AI Only)",68,55-1,83+1,79,64-3,66,70,76,78,79,68-4,71-2,72-2,79,56,77,80-2,76-1,81+4,71,86+2,87+5,54,69,75,78+4,80,85,84,11,12,10,7,14,34.2
46,M. Reus,Marco Reus,28,180,75,Germany,Borussia Dortmund,86,86,Right,4,4,4,Medium/Medium,Lean,"#Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher",SUB,,2012-07-01,,88.0,87.0,86.0,39.0,64.0,,,,,,,"Injury Prone, Finesse Shot, Backs Into Player, Takes Finesse Free Kicks",80-3,86+2,49-2,86,88,86,90,84,80+1,85,86-3,90-1,86-1,87,81-1,87,72,68-5,67,88+3,49,50,86-1,86,87+3,83,30,36,46,12,12,13,13,11,39.14
47,Sergio Busquets,Sergio Busquets,28,189,76,Spain,FC Barcelona,86,86,Right,4,3,3,Medium/Medium,Lean,#Tactician ,CDM,,2008-09-01,CDM,40.0,59.0,74.0,82.0,81.0,,,,,,,,62,60,68,88,44,74,66,68,79,80,48-5,34+1,58,82,55,61,66,88,77,54,85,86,77,84,60,88+6,81,85,80,5,8,13,9,13,68.4
48,T. Müller,Thomas Müller,27,186,75,Germany,FC Bayern München,86,86,Right,4,4,3,High/High,Lean,#Engine,RM,,2008-08-10,RM,77.0,82.0,78.0,46.0,71.0,,,,,,,Injury Free,77+3,87,82,81,83,75,81,59,68,82,76,78-1,76-1,92,72,77,81,90,67,77-3,57,58,93,81,60,83,31,41,44,6,7,11,14,14,58.9
49,R. Varane,Raphaël Varane,24,191,78,France,Real Madrid,85,92,Right,3,3,2,Medium/High,Lean,#Tackling ,RCB,,2011-07-01,RCB,79.0,45.0,64.0,84.0,79.0,,,,,,,,36,40,83,75+3,42,57,46,54,76+2,77+2,77-3,81-2,58,81+2,47,52,80+1,68-2,85+1,53,77+4,82,44,56,43,82+16,84,86,85,11,11,9,5,14,39.9
50,Y. Carrasco,Yannick Carrasco,23,180,67,Belgium,Atlético Madrid,85,90,Right,3,4,4,High/Medium,Lean,#Acrobat,LM,,2015-07-10,LM,88.0,79.0,88.0,29.0,63.0,,,,,,,"Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only)",80,79+1,53,79+2,68,91+1,81,78,74+2,86+1,87,89,91,83,71,84,68,73-1,59,75,61,18,82,74,74,75+9,19,39,26,9,11,9,10,10,45.6
51,M. ter Stegen,Marc-André ter Stegen,25,187,85,Germany,FC Barcelona,85,89,Right,3,4,1,Medium/Medium,Normal,,GK,,2014-07-01,SUB,,,,,,84.0,83.0,87.0,86.0,45.0,81.0,"Rushes Out Of Goal, Comes For Crosses, Saves with Feet",15,14+1,11,30,14,17,18,12,38,18,38,50,37,82+1,43,22,79-3,35,79,10,43,22,11,57,25,62-4,10,13,10,84,83+1,87+1,81+1,86+1,26.79
52,B. Leno,Bernd Leno,25,190,83,Germany,Bayer 04 Leverkusen,85,88,Right,3,4,1,Medium/Medium,Normal,,GK,,2012-01-01,SUB,,,,,,85.0,84.0,74.0,83.0,49.0,85.0,Cautious With Crosses,9,9,13,37,10,16,9,8,33,22,46,52,52,81,44,23,73,43,68,14,28,22,7,53,23,62,8,15,18,85,84-1,74-2,85,83,17.48
53,A. Lacazette,Alexandre Lacazette,26,175,73,France,Arsenal,85,88,Right,3,3,4,High/Medium,Normal,#Acrobat,ST,,2017-07-05,SUB,86.0,83.0,85.0,38.0,77.0,,,,,,,"Flair, Speed Dribbler (CPU AI Only)",64-6,87,72,79-1,82,85,74,71-6,59-9,84,84,87,87,85,84,81,76,80,79,76,70,40,87,74-3,84,86,23,42,30,11,6,9,5,6,49.4
54,Azpilicueta,César Azpilicueta,27,178,78,Spain,Chelsea,85,87,Right,3,3,3,Medium/Medium,Normal,#Tackling ,RCB,,2012-08-24,SUB,79.0,55.0,74.0,86.0,78.0,,,,,,,"Long Throw-in, Injury Free",78-1,46,76+3,80,51-3,69-1,66,58,74,79+2,78-1,79,75,86-2,73,68,76+1,88,73-1,60,80+4,85,62-2,68,66,78+12,87,88,87,13,9,10,6,5,31.35
