,short_name,name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,player_tags,team_position,loaned_from,joined,nation_position,pace,shooting,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,2019
43,L. Insigne,Lorenzo Insigne,28,163,59,Italy,Napoli,87,87,Right,3,4,4,High/Medium,Normal,"#Dribbler, #Crosser, #Acrobat",LS,,2010-07-01,LW,89.0,79.0,91.0,35.0,47.0,,,,,,,"Beat Offside Trap, Argues with Officials, Early Crosser",86,77,59,87,74,90,87,77,78,93,94,85,94,84,93,79,52,72,40,85,34,26,85,89,68,83,49,24,22,8,4,14,9,10,74.1
44,L. Sané,Leroy Sané,23,183,75,Germany,Manchester City,86,92,Left,2,3,4,High/Medium,Lean,"#Speedster, #Dribbler, #Acrobat",SUB,,2016-08-02,LW,95.0,81.0,86.0,38.0,70.0,,,,,,,"Long Throw-in, Selfish, Early Crosser",83,81,72,80,85,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82,71,80,36,32,35,8,12,9,9,14,114.0
45,Marquinhos,Marquinhos,25,183,75,Brazil,Paris Saint-Germain,86,90,Right,3,3,3,Medium/High,Normal,"#Tackling , #Tactician ",RCB,,2013-07-19,,74.0,41.0,70.0,86.0,77.0,,,,,,,Inflexible,68,33,84,82,31,64,55,32,82,79,72,76,69,85,68,61,89,76,75,35,80,86,59,68,47,86,86,87,87,6,6,12,10,13,74.1
46,M. Škriniar,Milan Skriniar,24,187,80,Slovakia,Inter,86,90,Right,1,4,2,Medium/High,Normal,#Tactician ,LCB,,2017-07-07,,69.0,41.0,66.0,87.0,82.0,,,,,,,,40,42,82,73,40,67,34,30,69,69,70,69,48,83,51,50,78,75,85,30,86,86,30,57,56,81,92,87,83,10,13,12,8,12,68.4
47,M. Verratti,Marco Verratti,26,165,60,Italy,Paris Saint-Germain,86,89,Right,3,4,4,Medium/High,Normal,"#Dribbler, #Playmaker  , #Acrobat, #Complete Midfielder",RCM,,2012-07-18,LCM,65.0,60.0,90.0,79.0,66.0,,,,,,,"Selfish, Finesse Shot",75,60,55,90,64,90,74,64,89,89,69,61,91,85,94,56,64,77,52,58,89,84,71,87,64,95,78,82,83,12,12,15,15,10,85.5
48,S. Umtiti,Samuel Umtiti,25,182,75,France,FC Barcelona,86,89,Left,3,3,2,Medium/High,Normal,"#Tackling , #Tactician ",SUB,,2016-07-12,LCB,69.0,63.0,69.0,86.0,82.0,,,,,,,,61,51,79,80,65,64,72,62,73,77,66,72,62,82,66,83,88,71,86,74,82,87,51,58,61,82,87,88,85,15,10,14,12,15,51.3
49,W. Szczęsny,Wojciech Szczesny,29,195,90,Poland,Juventus,86,88,Right,3,3,1,Medium/Medium,Lean,,GK,,2017-07-19,GK,,,,,,85.0,82.0,73.0,88.0,49.0,86.0,Acrobatic Clearance,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,85,82,73,86,88,39.9
50,J. Kimmich,Joshua Kimmich,24,176,73,Germany,FC Bayern München,86,88,Right,3,4,3,High/Low,Lean,#Crosser,RB,,2015-07-01,CDM,72.0,69.0,84.0,79.0,78.0,,,,,,,,91,66,74,87,67,83,85,61,85,85,77,68,84,87,84,76,79,94,66,71,86,80,80,84,44,85,78,80,79,8,15,7,15,15,79.8
51,Isco,Isco,27,176,79,Spain,Real Madrid,86,87,Right,3,3,4,Medium/Low,Normal,#Dribbler,SUB,,2013-07-03,LW,71.0,77.0,91.0,59.0,60.0,,,,,,,"Injury Free, Beat Offside Trap, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",78,79,55,84,67,92,88,76,80,93,74,68,85,76,90,69,61,62,59,84,58,61,79,87,76,86,58,64,51,10,8,12,15,6,68.4
52,Roberto Firmino,Roberto Firmino,27,181,76,Brazil,Liverpool,86,87,Right,3,4,4,High/High,Lean,"#Dribbler, #Playmaker  , #Engine, #Complete Midfielder",CF,,2015-07-06,,77.0,82.0,87.0,61.0,78.0,,,,,,,"Selfish, Finesse Shot, Outside Foot Shot, Crowd Favourite",72,85,78,86,81,88,80,65,76,88,78,77,80,86,81,81,81,88,74,76,73,58,87,86,72,88,60,64,42,8,11,9,6,10,91.2
53,I. Rakitić,Ivan Rakitic,31,184,78,Croatia,FC Barcelona,86,86,Right,4,4,3,Medium/Medium,Lean,,RCM,,2014-07-01,,62.0,81.0,81.0,74.0,70.0,,,,,,,"Diver, Argues with Officials",84,78,59,86,84,80,88,82,90,87,64,61,73,80,62,84,34,79,71,85,67,79,77,85,82,80,76,73,72,14,11,12,5,9,47.5
54,M. Pjanić,Miralem Pjanic,29,178,72,Bosnia Herzegovina,Juventus,86,86,Right,3,4,3,Medium/Medium,Normal,"#Dribbler, #Playmaker  , #FK Specialist, #Complete Midfielder",CDM,,2016-07-01,,68.0,68.0,85.0,75.0,67.0,,,,,,,"Beat Offside Trap, Argues with Officials, Finesse Shot, Crowd Favourite",80,56,60,91,72,86,86,92,87,89,69,67,75,84,81,78,60,79,61,82,70,78,68,88,79,86,78,76,70,7,7,13,7,8,79.8
55,A. Di María,Ángel Di María,31,180,69,Argentina,Paris Saint-Germain,86,86,Left,4,2,5,High/Medium,Lean,"#Dribbler, #Crosser, #FK Specialist, #Acrobat",LW,,2015-08-06,RM,84.0,79.0,87.0,48.0,68.0,,,,,,,"Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Outside Foot Shot, Crowd Favourite",86,76,51,83,77,87,88,88,80,86,85,84,94,82,77,83,72,78,60,84,73,42,84,86,73,84,41,55,52,10,7,11,12,11,45.6
56,L. Bonucci,Leonardo Bonucci,32,190,85,Italy,Juventus,86,86,Right,3,4,2,Low/High,Lean,#Tactician ,RCB,,2018-08-02,RCB,58.0,58.0,70.0,87.0,79.0,,,,,,,"Long Throw-in, Diver, Leadership, Long Passer (CPU AI Only)",44,48,84,77,58,69,56,61,85,75,55,60,61,84,55,74,85,68,82,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4,31.92
57,Coutinho,Philippe Coutinho,27,172,68,Brazil,FC Bayern München,86,86,Right,3,4,5,High/Medium,Normal,"#Dribbler, #FK Specialist, #Acrobat",LCM,FC Barcelona,,,79.0,80.0,90.0,52.0,64.0,,,,,,,"Injury Free, Selfish, Argues with Officials, Crowd Favourite",79,77,48,84,78,90,90,86,82,91,84,75,92,82,93,82,59,76,61,88,59,49,84,86,70,77,55,54,47,12,7,9,14,6,108.3
