,short_name,name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,player_tags,team_position,loaned_from,joined,nation_position,pace,shooting,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,2018
10,D. Godín,Diego Godín,32,187,78,Uruguay,Atlético Madrid,90,90,Right,3,3,2,Medium/High,Lean,"#Aerial Threat, #Tackling , #Tactician , #Strength, #Complete Defender",LCB,,2010-08-01,RCB,68.0,48.0,62.0,89.0,84.0,,,,,,,"Dives Into Tackles (CPU AI Only), Power Header",55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,90,43,88,88,48,52,50,82,90,89,89,6,8,15,5,15,35.625
11,T. Kroos,Toni Kroos,28,183,76,Germany,Real Madrid,90,90,Right,4,5,3,Medium/Medium,Normal,"#Playmaker  , #Distance Shooter, #Crosser, #Complete Midfielder",LCM,,2014-07-17,LDM,67.0,82.0,82.0,74.0,69.0,,,,,,,"Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Set Play Specialist",88,76,54,92,82,79,86,84,93,90,68,66,70,89,71,87,30,75,73,92,60,81,79,86,73,85,68,82,69,10,11,13,7,10,91.2
12,R. Lewandowski,Robert Lewandowski,29,184,80,Poland,FC Bayern München,90,90,Right,4,4,4,High/Medium,Normal,"#FK Specialist, #Clinical Finisher",ST,,2014-07-01,LS,78.0,89.0,85.0,41.0,82.0,,,,,,,"Injury Free, Finesse Shot, Chip Shot (CPU AI Only)",62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19,15,6,12,8,10,94.62
13,P. Dybala,Paulo Dybala,24,177,75,Argentina,Juventus,89,94,Left,3,3,4,High/Medium,Normal,"#Dribbler, #Playmaker  , #FK Specialist, #Acrobat, #Complete Midfielder",RW,,2015-07-01,SUB,85.0,85.0,91.0,28.0,66.0,,,,,,,"Avoids Using Weaker Foot, Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Set Play Specialist, Takes Finesse Free Kicks",82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8,121.6
14,M. ter Stegen,Marc-André ter Stegen,26,187,85,Germany,FC Barcelona,89,92,Right,3,4,1,Medium/Medium,Normal,,GK,,2014-07-01,SUB,,,,,,87.0,85.0,88.0,90.0,45.0,85.0,"Rushes Out Of Goal, Comes For Crosses, Saves with Feet",15,14,11,30,14,17,18,12,38,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,25,69,25,13,10,87,85,88,85,90,72.96
15,Isco,Isco,26,176,79,Spain,Real Madrid,89,92,Right,3,3,4,High/Medium,Normal,"#Dribbler, #Playmaker  ",SUB,,2013-07-03,LW,72.0,81.0,93.0,61.0,62.0,,,,,,,"Selfish, Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",75,85,55,89,65,94,88,74,84,95,75,69,87,79,90,69,64,70,59,89,58,66,80,90,76,86,60,64,51,10,8,12,15,6,89.775
16,H. Kane,Harry Kane,24,188,89,England,Tottenham Hotspur,89,92,Right,3,4,3,High/High,Normal,"#Engine, #Clinical Finisher",ST,,2010-07-01,LS,70.0,90.0,80.0,47.0,83.0,,,,,,,"Selfish, Leadership, Long Shot Taker (CPU AI Only)",75,94,85,80,82,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,8,10,11,14,11,159.6
17,A. Griezmann,Antoine Griezmann,27,176,73,France,Atlético Madrid,89,90,Left,4,3,4,High/High,Lean,"#Dribbler, #Acrobat, #Clinical Finisher",RS,,2014-07-29,CAM,86.0,86.0,89.0,50.0,70.0,,,,,,,"Beat Offside Trap, Finesse Shot, Speed Dribbler (CPU AI Only)",82,92,84,82,87,88,84,76,76,90,88,85,90,90,80,80,90,81,62,82,69,35,91,81,74,87,59,43,44,14,8,14,13,14,141.36
18,N. Kanté,N'Golo Kanté,27,168,68,France,Chelsea,89,90,Right,3,3,2,Medium/High,Lean,"#Tackling , #Tactician ",RCM,,2016-07-16,LDM,80.0,66.0,81.0,87.0,84.0,,,,,,,Injury Free,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85,15,12,10,7,10,85.5
19,S. Agüero,Sergio Agüero,30,173,70,Argentina,Manchester City,89,89,Right,4,4,4,High/Medium,Stocky,"#Dribbler, #Acrobat, #Clinical Finisher",ST,,2011-07-28,SUB,84.0,89.0,89.0,28.0,73.0,,,,,,,"Beat Offside Trap, Leadership, Flair, Technical Dribbler (CPU AI Only)",70,93,74,81,85,89,82,72,63,89,88,80,86,89,91,88,81,76,73,82,65,24,92,83,83,90,30,20,12,13,15,6,11,14,87.4
20,David Silva,David Silva,32,173,67,Spain,Manchester City,89,89,Left,4,2,4,High/Medium,Normal,"#Dribbler, #Playmaker  , #Acrobat",LCM,,2010-07-14,,66.0,74.0,90.0,50.0,60.0,,,,,,,"Avoids Using Weaker Foot, Finesse Shot, Flair, Playmaker (CPU AI Only), Takes Finesse Free Kicks",83,73,54,92,80,89,82,76,81,93,69,64,92,87,90,71,64,78,52,73,56,48,88,92,75,92,57,50,29,6,15,7,6,12,32.3
21,M. Hummels,Mats Hummels,29,191,92,Germany,FC Bayern München,89,89,Right,4,3,3,High/Medium,Normal,"#Tackling , #Tactician ",LCB,,2016-07-01,LCB,65.0,58.0,72.0,90.0,76.0,,,,,,,"Long Passer (CPU AI Only), Playmaker (CPU AI Only)",64,55,87,82,60,68,65,53,85,81,62,68,63,88,60,71,68,66,85,51,69,92,56,79,68,91,89,92,90,15,6,10,5,6,61.275
22,C. Eriksen,Christian Eriksen,26,181,76,Denmark,Tottenham Hotspur,88,91,Right,3,5,4,High/Medium,Lean,"#Playmaker  , #Crosser, #FK Specialist, #Complete Midfielder",RM,,2013-08-30,CAM,74.0,82.0,86.0,53.0,64.0,,,,,,,"Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Takes Finesse Free Kicks",88,80,52,91,76,84,86,87,87,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6,87.4
23,P. Pogba,Paul Pogba,25,192,84,France,Manchester United,88,91,Right,4,4,5,High/Low,Lean,"#Dribbler, #Playmaker  , #Strength",LCM,,2016-08-09,RDM,75.0,79.0,85.0,69.0,87.0,,,,,,,"Flair, Long Passer (CPU AI Only), Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",80,73,73,87,85,87,84,82,90,90,71,78,74,81,64,90,85,90,89,81,78,68,82,87,81,87,67,70,68,5,6,2,4,3,98.8
24,Coutinho,Philippe Coutinho,26,172,68,Brazil,FC Barcelona,88,89,Right,3,4,5,High/High,Lean,"#Dribbler, #Playmaker  , #Distance Shooter, #FK Specialist, #Acrobat, #Complete Midfielder",LCM,,2018-01-06,,81.0,81.0,91.0,45.0,64.0,,,,,,,"Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Takes Finesse Free Kicks",79,77,48,88,75,91,91,86,81,92,89,75,92,83,93,83,59,79,61,93,55,30,84,90,70,85,55,44,40,12,7,9,14,6,133.0
25,J. Rodríguez,James Rodríguez,26,181,78,Colombia,FC Bayern München,88,89,Left,4,3,4,Medium/Medium,Normal,"#Playmaker  , #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder",SUB,Real Madrid,,SUB,72.0,86.0,86.0,50.0,67.0,,,,,,,"Avoids Using Weaker Foot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Set Play Specialist",90,83,62,89,90,85,89,86,83,90,75,69,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44,15,15,15,5,14,79.8
26,G. Higuaín,Gonzalo Higuaín,30,186,89,Argentina,Milan,88,88,Right,4,4,3,High/Medium,Normal,#Clinical Finisher,ST,Juventus,,,73.0,87.0,83.0,31.0,74.0,,,,,,,"Outside Foot Shot, Through Ball",68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,5,12,7,5,10,62.7
27,H. Lloris,Hugo Lloris,31,188,82,France,Tottenham Hotspur,88,88,Left,4,1,1,Medium/Medium,Lean,,GK,,2012-08-01,GK,,,,,,88.0,84.0,68.0,92.0,63.0,83.0,"Avoids Using Weaker Foot, Rushes Out Of Goal, Comes For Crosses",13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18,88,84,68,83,92,31.35
28,G. Bale,Gareth Bale,28,185,81,Wales,Real Madrid,88,88,Left,4,3,4,High/Medium,Lean,"#Speedster, #Distance Shooter, #Crosser, #FK Specialist, #Clinical Finisher",RW,,2013-09-02,ST,95.0,88.0,85.0,58.0,76.0,,,,,,,"Long Throw-in, Injury Prone, Avoids Using Weaker Foot, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Chip Shot (CPU AI Only)",87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,15,15,11,5,6,89.775
29,Marcelo,Marcelo,30,174,80,Brazil,Real Madrid,88,88,Left,4,4,5,High/Low,Normal,"#Dribbler, #Crosser, #Acrobat",LB,,2007-01-01,,82.0,71.0,90.0,81.0,82.0,,,,,,,Flair,90,67,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,75,85,86,12,5,5,5,9,68.4
30,M. Silva,Marcelo,29,185,82,Uruguay,Real Salt Lake,70,70,Right,1,3,2,Medium/Medium,Stocky,,SUB,,2017-07-12,,43.0,35.0,51.0,68.0,77.0,,,,,,,"Dives Into Tackles (CPU AI Only), Power Header",32,22,74,61,34,48,49,46,56,54,42,44,60,57,42,61,81,59,86,35,78,68,30,43,49,50,67,69,62,6,12,7,6,14,68.4
31,Sergio Busquets,Sergio Busquets,29,189,76,Spain,FC Barcelona,88,88,Right,4,3,3,Medium/Medium,Lean,"#Playmaker  , #Tactician ",CDM,,2008-09-01,CDM,43.0,62.0,78.0,85.0,80.0,,,,,,,,62,67,68,88,44,78,66,68,79,85,42,44,66,85,52,61,66,86,77,54,85,87,77,86,60,88,90,86,80,5,8,13,9,13,89.3
32,L. Insigne,Lorenzo Insigne,27,163,59,Italy,Napoli,88,88,Right,3,3,4,High/Medium,Normal,"#Speedster, #Dribbler, #Crosser, #Acrobat",LW,,2010-07-01,LW,90.0,76.0,91.0,36.0,50.0,,,,,,,"Finesse Shot, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Takes Finesse Free Kicks",86,75,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,8,4,14,9,10,76.0
33,K. Mbappé,Kylian Mbappé,19,178,73,France,Paris Saint-Germain,87,95,Right,3,4,5,High/Medium,Lean,"#Speedster, #Dribbler, #Acrobat",RW,,2018-07-01,RM,96.0,81.0,89.0,39.0,72.0,,,,,,,"Finesse Shot, Flair, Speed Dribbler (CPU AI Only), Technical Dribbler (CPU AI Only)",76,86,77,82,78,89,77,63,73,90,96,96,92,85,83,79,75,83,71,76,62,38,85,84,70,86,34,34,32,13,5,7,11,6,175.56
34,S. Umtiti,Samuel Umtiti,24,182,75,France,FC Barcelona,87,92,Left,3,3,2,Medium/High,Normal,"#Tackling , #Tactician ",LCB,,2016-07-12,LCB,72.0,64.0,72.0,88.0,82.0,,,,,,,"Diver, Outside Foot Shot",69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,15,10,14,12,15,68.4
35,K. Koulibaly,Kalidou Koulibaly,27,187,89,Senegal,Napoli,87,90,Right,3,2,2,High/High,Normal,"#Tackling , #Tactician , #Strength, #Complete Defender",LCB,,2014-07-01,,72.0,26.0,59.0,88.0,86.0,,,,,,,Power Header,30,19,81,66,14,60,28,28,48,60,68,75,50,80,40,55,81,71,94,15,87,88,24,34,33,78,91,88,86,7,11,7,13,5,68.4
36,M. Icardi,Mauro Icardi,25,181,75,Argentina,Inter,87,90,Right,3,4,3,Medium/Low,Normal,"#Poacher, #Aerial Threat",ST,,2013-07-09,ST,78.0,85.0,79.0,36.0,72.0,,,,,,,"Injury Free, Power Header",46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9,111.15
37,R. Lukaku,Romelu Lukaku,25,190,94,Belgium,Manchester United,87,89,Left,3,4,3,Medium/Medium,Stocky,"#Poacher, #Strength",ST,,2017-07-10,ST,84.0,84.0,75.0,35.0,87.0,,,,,,,"Beat Offside Trap, Leadership, Speed Dribbler (CPU AI Only), Power Header, Target Forward",78,88,87,78,79,81,74,66,74,74,77,90,60,87,46,88,71,84,94,74,76,27,89,76,78,83,30,30,30,8,15,14,7,10,102.6
38,I. Rakitić,Ivan Rakitic,30,184,78,Croatia,FC Barcelona,87,87,Right,4,3,3,High/High,Normal,"#Playmaker  , #Distance Shooter",RCM,,2014-06-24,,62.0,84.0,82.0,72.0,69.0,,,,,,,"Long Shot Taker (CPU AI Only), Set Play Specialist",84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70,14,11,12,5,9,63.84
39,J. Vertonghen,Jan Vertonghen,31,189,86,Belgium,Tottenham Hotspur,87,87,Left,3,3,3,High/High,Normal,"#Tackling , #Tactician ",LCB,,2012-07-01,LCB,63.0,63.0,72.0,88.0,79.0,,,,,,,Power Free-Kick,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,6,10,9,12,7,34.77
40,D. Mertens,Dries Mertens,31,169,61,Belgium,Napoli,87,87,Right,3,4,4,High/Low,Normal,"#Dribbler, #Acrobat, #Clinical Finisher",SUB,,2013-07-01,RF,89.0,83.0,91.0,34.0,55.0,,,,,,,"Diver, Finesse Shot, Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only), Takes Finesse Free Kicks, Through Ball",77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4,34.2
41,A. Sánchez,Alexis Sánchez,29,169,74,Chile,Manchester United,87,87,Right,4,3,4,High/High,Normal,"#Dribbler, #Acrobat",LW,,2018-01-22,LW,82.0,83.0,89.0,45.0,77.0,,,,,,,"Avoids Using Weaker Foot, Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only), Through Ball",81,83,73,77,83,90,79,78,75,87,86,79,91,87,87,84,87,83,72,83,79,50,84,83,77,86,38,44,35,10,10,15,12,13,68.4
42,A. Sánchez,Alexis Sánchez,31,187,84,Argentina,Atlético Tucumán,69,69,Left,1,2,1,Medium/Medium,Normal,,SUB,,2017-08-08,,,,,,,67.0,64.0,69.0,74.0,21.0,67.0,Puncher,20,18,17,24,19,20,13,14,22,20,23,20,23,68,48,23,33,18,68,14,13,10,10,43,25,33,24,15,14,67,64,69,67,74,68.4
43,P. Aubameyang,Pierre-Emerick Aubameyang,29,187,80,Gabon,Arsenal,87,87,Right,3,4,4,Medium/Low,Lean,"#Poacher, #Speedster",LM,,2018-01-31,,94.0,84.0,80.0,37.0,70.0,,,,,,,"Injury Free, Beat Offside Trap, Finesse Shot, Speed Dribbler (CPU AI Only), Chip Shot (CPU AI Only)",77,87,79,77,86,79,78,74,64,82,93,95,76,86,70,81,79,76,76,78,43,48,89,77,76,84,27,25,36,6,9,15,9,9,85.5
44,Jordi Alba,Jordi Alba,29,170,68,Spain,FC Barcelona,87,87,Left,3,3,3,High/Medium,Normal,"#Speedster, #Crosser, #Acrobat",LB,,2012-07-01,LB,93.0,69.0,83.0,79.0,72.0,,,,,,,Beat Offside Trap,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85,13,15,13,6,13,68.4
45,C. Immobile,Ciro Immobile,28,185,85,Italy,Lazio,87,87,Right,3,4,3,High/Medium,Normal,#Clinical Finisher,ST,,2016-07-27,SUB,82.0,87.0,82.0,39.0,76.0,,,,,,,Beat Offside Trap,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,75,76,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6,55.1
46,L. Sané,Leroy Sané,22,183,75,Germany,Manchester City,86,93,Left,2,3,4,High/Medium,Lean,"#Speedster, #Dribbler, #Acrobat",LW,,2016-08-02,SUB,95.0,81.0,86.0,38.0,70.0,,,,,,,"Avoids Using Weaker Foot, Beat Offside Trap, Flair, Speed Dribbler (CPU AI Only)",83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,8,12,9,9,14,100.7
47,R. Varane,Raphaël Varane,25,191,81,France,Real Madrid,86,92,Right,3,3,2,Medium/High,Lean,#Tackling ,RCB,,2011-07-01,RCB,84.0,45.0,64.0,86.0,80.0,,,,,,,,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,11,11,9,5,14,75.24
48,Ederson,Ederson,24,188,86,Brazil,Manchester City,86,90,Left,2,3,1,Medium/Medium,Normal,,GK,,2017-07-01,,,,,,,85.0,80.0,90.0,87.0,63.0,82.0,"Long Passer (CPU AI Only), Rushes Out Of Goal, Comes For Crosses",20,14,14,56,18,23,15,20,55,37,64,63,60,86,48,42,58,41,68,18,35,25,20,67,17,70,28,15,8,85,80,90,82,87,57.0
49,M. Verratti,Marco Verratti,25,165,60,Italy,Paris Saint-Germain,86,89,Right,3,4,4,Medium/High,Normal,"#Dribbler, #Playmaker  , #Acrobat",RCM,,2012-07-18,,65.0,60.0,89.0,79.0,66.0,,,,,,,Playmaker (CPU AI Only),72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80,12,12,15,15,10,79.8
50,Roberto Firmino,Roberto Firmino,26,181,76,Brazil,Liverpool,86,88,Right,3,4,4,High/High,Lean,"#Dribbler, #Engine",CF,,2015-07-06,,77.0,83.0,86.0,61.0,78.0,,,,,,,"Flair, Playmaker (CPU AI Only), Chip Shot (CPU AI Only), Technical Dribbler (CPU AI Only)",72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,8,11,9,6,10,79.8
51,Azpilicueta,César Azpilicueta,28,178,78,Spain,Chelsea,86,87,Right,3,3,2,Medium/Medium,Normal,"#Tackling , #Tactician ",RB,,2012-08-24,SUB,76.0,55.0,73.0,87.0,77.0,,,,,,,"Long Throw-in, Injury Free, Early Crosser, Long Passer (CPU AI Only), Team Player",81,46,76,81,51,69,68,58,80,79,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,13,9,10,6,5,44.175
52,S. Mané,Sadio Mané,26,175,69,Senegal,Liverpool,86,87,Right,3,4,4,High/Medium,Lean,"#Speedster, #Dribbler, #Acrobat",LW,,2016-07-01,,94.0,80.0,87.0,42.0,73.0,,,,,,,"Beat Offside Trap, Flair, Speed Dribbler (CPU AI Only)",73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,10,10,15,7,14,77.9
53,M. Özil,Mesut Özil,29,180,76,Germany,Arsenal,86,86,Left,4,2,4,Medium/Low,Lean,#Playmaker  ,RM,,2013-09-02,,70.0,73.0,85.0,24.0,58.0,,,,,,,"Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",83,72,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,78,24,16,19,6,14,10,6,14,51.3
54,M. Pjanić,Miralem Pjanic,28,178,72,Bosnia Herzegovina,Juventus,86,86,Right,3,4,3,Medium/Medium,Normal,"#Dribbler, #Playmaker  , #FK Specialist, #Complete Midfielder",CDM,,2016-07-01,,66.0,70.0,86.0,73.0,69.0,,,,,,,"Finesse Shot, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Set Play Specialist, Takes Finesse Free Kicks",80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,77,66,82,70,78,70,88,79,86,75,74,70,7,7,13,7,8,76.95
55,I. Perišić,Ivan Perisic,29,186,80,Croatia,Inter,86,86,Right,3,5,4,Medium/Medium,Lean,,LM,,2015-09-01,,86.0,80.0,84.0,62.0,78.0,,,,,,,"Flair, Speed Dribbler (CPU AI Only)",84,79,80,82,81,85,73,75,77,85,84,88,78,81,74,84,84,89,78,79,65,69,86,79,76,80,64,52,54,6,7,10,9,6,47.025
